Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Avisaíl García","MIA",18,51,2,4,2,0,0.019607843,0.25490196,0.14,0.285714285,0.24,0.25490196,0.38,0.2740822633107503,,71.5206967084512,0.004113532602787018,-1.7327305011256324,-0.09268566966056824,-0.01312300348167865,"Avisail Garcia",5760,541645
2022,"Jack Suwinski","PIT",106,372,19,45,38,4,0.110215053,0.306451612,0.208588957,0.242268041,0.202453987,0.298387096,0.411042944,0.3113032691883591,,97.49940795876884,-0.235642708837986,-1.3164098949809078,-0.09802627563476562,1.1951605617209826,"Jack Suwinski",22244,669261
2022,"Adam Haseley","CHW",14,25,0,4,2,0,0.12,0.28,0,0.357142857,0.238095238,0.333333333,0.238095238,0.2702285796403885,,72.95163370202408,-0.14333879575133324,-0.9042752510918627,-0.10772174596786499,-0.023236470880504987,"Adam Haseley",19878,656514
2023,"Everson Pereira","NYY",27,103,0,6,10,4,0.077669902,0.388349514,0.043010753,0.264150943,0.150537634,0.233009708,0.193548387,0.20213248081577634,,20.855796720406143,0.47800675220787525,-9.289616825847446,-0.10786008834838867,-0.5842771157837491,"Everson Pereira",23695,677592
2024,"Rafael Ortega","CHW",14,17,0,4,1,2,0.117647058,0.235294117,0,0.09090909,0.071428571,0.176470588,0.071428571,0.1329395385349498,,-23.208164413631277,0.37632273882627487,-2.0202687693234016,-0.11105386912822723,-0.16159026866879062,"Rafael Ortega",10323,542364
2022,"Brewer Hicklen","KCR",6,4,0,1,0,0,0,1,0,0,0,0,0,0,,-100,-0.19123391807079315,-1.1894064471727552,-0.11271134112030268,-0.12343450688068354,"Brewer Hicklen",20450,676551
2022,"Juan Lagares","LAA",20,62,0,4,0,0,0.032258064,0.241935483,0.066666667,0.244444444,0.183333333,0.209677419,0.25,0.20278369419036374,,24.083892091054473,0.20944187510758638,-5.087106791800862,-0.11332109570503235,-0.3401375724721312,"Juan Lagares",5384,501571
2022,"James Outman","LAD",4,16,1,6,3,0,0.125,0.4375,0.384615385,1,0.461538461,0.5625,0.846153846,0.5840130336582661,,288.2825484652542,0.32254526298493147,3.82261273516857,-0.12270820885896683,0.446268829774642,"James Outman",24770,681546
2023,"Michael Siani","- - -",8,6,0,1,0,1,0.166666666,0.166666666,0,0,0,0.166666666,0,0.11598381400108337,,-25.741624895342,-0.36470055719837546,-1.37979305657018,-0.14013607900006864,-0.1312351061063315,"Michael Siani",22557,672279
2023,"Brandon Dixon","SDP",33,86,2,10,9,1,0.011627906,0.360465116,0.126582279,0.291666666,0.202531645,0.244186046,0.329113924,0.24893636551014212,,56.11722218643575,0.26005893340334296,-4.415257608527294,-0.147119402885437,-0.16357467120947644,"Brandon Dixon",15214,641525
2023,"Eric Haase","- - -",89,293,4,22,26,4,0.058020477,0.276450511,0.08029197,0.268421052,0.200729927,0.246575342,0.281021897,0.23277085671310163,,43.28624894667764,-0.47877591382712126,-20.389569549468796,-0.15766347758471966,-1.0452776689543497,"Eric Haase",14111,606992
2024,"Daniel Johnson","BAL",1,1,0,1,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.24438608293186476,-0.1623790287412703,-0.0385669598883934,"Daniel Johnson",19643,669288
2024,"Sam Haggerty","SEA",8,16,0,1,1,1,0.0625,0.25,0,0.09090909,0.066666666,0.125,0.066666666,0.09817758947610855,,-40.76974872887103,0.18421515822410583,-2.392906527624563,-0.17832496762275696,-0.21046587394443025,"Sam Haggerty",18054,664059
2024,"Nathan Lukes","TOR",22,91,1,13,10,1,0.109890109,0.098901098,0.144736843,0.318840579,0.302631578,0.370786516,0.447368421,0.35107741864879477,,132.09371211368975,0.46334993839263916,3.805046042097829,-0.18454372882843018,0.6872136350438569,"Nathan Lukes",18123,664770
2023,"Taylor Kohlwey","SDP",5,13,0,0,0,0,0,0.384615384,0,0.25,0.153846153,0.153846153,0.153846153,0.1357748141655555,,-19.744491034078212,-0.015410247258841991,-1.943900075715265,-0.20566820725798607,-0.1703046469904951,"Taylor Kohlwey",19212,670128
2024,"Myles Straw","CLE",7,4,0,2,0,2,0,0,0,0.25,0.25,0.25,0.25,0.22042767703533173,,40.08732304523212,0.44590335339307785,0.17169270012487475,-0.21387899667024612,0.00941436435504686,"Myles Straw",17620,664702
2023,"Jonathan Davis","MIA",34,104,2,22,10,1,0.067307692,0.278846153,0.133333333,0.327868852,0.244444444,0.306930693,0.377777777,0.29815328652315803,,82.77855696705582,-0.48510627821087837,-2.703922521601845,-0.2257579267024994,0.06021904200632412,"Jonathan Davis",15104,641505
2022,"Steven Souza Jr.","SEA",6,19,0,0,1,0,0,0.421052631,0,0.272727272,0.157894736,0.157894736,0.157894736,0.13955539151241905,,-12.45203197775749,-0.02839068742468953,-2.4326884459810887,-0.22680334746837616,-0.2161421208914682,"Steven Souza Jr.",5667,519306
2023,"Cody Thomas","OAK",19,46,1,1,2,0,0.086956521,0.369565217,0.142857142,0.375,0.238095238,0.304347826,0.38095238,0.30030896611835645,,92.85934662307469,-0.16582256462424994,-0.559398342020044,-0.23645615577697754,0.07820760149012503,"Cody Thomas",19828,642137
2024,"Cedric Mullins","BAL",147,499,18,69,54,32,0.082164328,0.196392785,0.171171171,0.26060606,0.234234234,0.304878048,0.405405405,0.3102922748501708,,104.68086673562173,3.2907119169831276,5.96330247605725,-0.24682903289794922,2.3083502413775197,"Cedric Mullins",17929,656775
2022,"Travis Swaggerty","PIT",5,9,0,0,0,0,0,0.444444444,0,0.2,0.111111111,0.111111111,0.111111111,0.0982056458791097,,-48.211267483940425,-0.004139080177992582,-1.5539192393859003,-0.24955438077449799,-0.1568499966613405,"Travis Swaggerty",24491,680552
2022,"Stuart Fairchild","- - -",46,110,5,14,6,0,0.072727272,0.309090909,0.216494845,0.327586206,0.24742268,0.336363636,0.463917525,0.3499289333820343,,121.92656554184784,-1.3596259080804884,1.3273167446002248,-0.2520507303997874,0.5093474404178606,"Stuart Fairchild",20321,656413
